cell	trait	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score
Pattern_5	Savage cognition-intelligence	0.2176629012687378	0.2750320592841814	0.013033396907816039	1.2635688382404344	0.05987881642597576	2.1954420083975205e-05	5.9067734871243044e-09	2.419534210260405e-09	2.4412853771919107
Pattern_5	Tissink 2022 - Cerebellar Volume	0.2176629012687378	0.3629165559133249	0.026746078653272224	1.6673330815583014	0.12287844413251729	1.692699107730778e-09	3.2243515964907106e-08	9.435238341962148e-09	3.4173504469418376
Pattern_5	Tissink 2022 - Subcortical Volume	0.2176629012687378	0.3367921735679601	0.027675894752200076	1.547310872017364	0.1271502612107058	5.929957404016271e-06	6.491236442137898e-09	9.665601277097795e-09	0.6715812349427851
Pattern_5	UKB_IDP_0021_Volume_of_left_amygdala	0.2176629012687378	0.5293371001230242	0.09393279861579466	2.4319123609837274	0.4315517162928027	3.024420022182643e-07	1.9492810708700652e-08	5.5316681338247234e-09	3.5238575845696785
Pattern_5	UKB_IDP_0024_Volume_of_right_accumbens	0.2176629012687378	0.32687328529554355	0.042200409331352065	1.5017409185958106	0.19387966017805336	0.0061041642734505665	-1.1133074588972465e-09	5.97649378432197e-09	-0.18628103685437877
Pattern_5	UKB_IDP_0026_Volume_of_grey_matter_in_Left_Frontal_Pole	0.2176629012687378	0.24097776807263438	0.031841360379644454	1.1071145641631912	0.14628749407475494	0.4689176172291357	-1.376803403850465e-08	6.099274770488777e-09	-2.257323133747149
Pattern_5	UKB_IDP_0137_IDP_T1_FAST_ROIs_L_cerebellum_I-IV	0.2176629012687378	0.3278226166841476	0.026339598799810456	1.506102393992263	0.12101096992771512	2.2177446790014258e-05	1.362312208738967e-08	7.704782239161875e-09	1.7681384969124825
Pattern_5	UKB_IDP_0138_IDP_T1_FAST_ROIs_R_cerebellum_I-IV	0.2176629012687378	0.3206893435604514	0.02452996301317336	1.4733302813257638	0.11269703229255135	1.5629631442767135e-05	8.720781154768673e-09	7.375647493816399e-09	1.1823749931216219
Pattern_5	UKB_IDP_0139_IDP_T1_FAST_ROIs_L_cerebellum_V	0.2176629012687378	0.3227461216340159	0.028569473447955445	1.482779654928595	0.13125559423046607	0.0001956632214336513	1.1954184617414304e-08	8.21666080220266e-09	1.4548713772156343
Pattern_5	UKB_IDP_0140_IDP_T1_FAST_ROIs_R_cerebellum_V	0.2176629012687378	0.3123430756407198	0.027531133860321088	1.4349853549690812	0.12648519200949976	0.0005673257927373735	5.100540394743699e-09	8.017120136769907e-09	0.6362060575031752
