,Pattern_1,Pattern_2,Pattern_3,Pattern_4,Pattern_5,Pattern_6,Pattern_7,Pattern_8,Pattern_9,Pattern_10,Pattern_11,Pattern_12,Pattern_13,Pattern_14,Pattern_15,Pattern_16,Pattern_17,Pattern_18,Pattern_19,Pattern_20,Pattern_21,Pattern_22,Pattern_23,Pattern_24,Pattern_25,Pattern_26,Pattern_27,Pattern_28
ENTPD3-AS1,0.016301699,0.038888294,0.082270853,0.018364465,0.084410682,0.036638286,0.108977102,0.050787374,0.080523238,0.002285434,0.026108215,0.102572016,0.067105956,0.006318265,0.0354135,0.013602093,0.010546772,0.008258892,0.036295187,0.064412206,0.046794515,0.000924987,0.009048981,0.111613572,0.009466583,0.028865002,0.002517181,0.013633743
ENTPD3,1.02E-05,0.017478509,0.002774663,0.274378657,0.407485247,0.028699871,5.18E-05,0.001472746,0.000463242,7.89E-05,5.11E-05,0.378635347,0.019635092,0.019008677,0.000789284,0.022993973,0.006882838,2.70E-05,0.009301127,0.01882395,3.35E-05,0.000287853,0.115188815,6.20E-05,0.031884864,0.000173408,0.000539572,7.62E-06
RPL14,0.729819894,0.168230176,1.409377575,1.814451098,0.789066732,0.537828624,0.606955886,1.212269187,0.409833431,0.49287504,0.330575645,0.848541856,0.330402762,0.193431675,1.917933345,0.284360528,0.690729797,0.572498918,0.584310055,1.093677163,3.086360455,0.536823034,0.715245128,0.2474062,1.311788917,1.193564773,1.227383614,0.762810469
ZNF619,0.01139486,0.015247739,0.006085793,0.015046067,0.037091836,0.02659454,0.014480696,0.055288076,0.017301433,0.010720598,0.021106403,0.0925925,0.025113082,0.014894214,0.023104591,0.012314039,0.022223197,0.015037472,0.023762291,0.034339804,0.0331963,0.001565756,0.074241795,0.018475765,0.009045347,0.076015569,0.004191546,0.005139512
ZNF620,0.009736949,0.004944871,0.010080653,0.008854281,0.016224084,0.029981561,0.001607814,0.012221644,0.017079428,0.004652102,0.010657092,0.018872894,0.02165078,0.011079749,0.018400537,0.013940305,0.016940119,0.007649797,0.043661263,0.022263585,0.068936132,0.003277277,0.027681919,0.00737328,0.031218145,0.028216552,0.001904894,0.005880343
ZNF621,0.074696586,0.017800257,0.100337766,0.098846234,0.132852972,0.082393222,0.065277331,0.107941255,0.016547408,0.043427657,0.074053086,0.193505391,0.052377388,0.117418356,0.016891688,0.032344013,0.025480559,0.029229814,0.073510468,0.070160754,0.236322552,0.01894041,0.171351492,0.135450557,0.117726482,0.109487318,0.003084713,0.029159378
AC099560.1,0.000231083,0.000395411,0.000294915,0.000300893,0.000709631,0.000265182,0.000181789,0.000652454,0.000318773,0.00023797,0.000234043,0.000448699,0.000307977,0.000145303,0.000215349,0.000155889,7.44E-05,0.000234268,0.00025643,0.000246652,0.000246125,4.01E-05,0.000248524,0.000204482,0.000415299,0.00024591,4.24E-05,0.000112793
AC099541.2,0.000253049,0.000421778,0.000316508,0.000301633,0.000713998,0.000280296,0.000204936,0.000811104,0.000392797,0.000258218,0.000287943,0.000501162,0.00033856,0.000151065,0.00028158,0.000171681,8.69E-05,0.000234115,0.000298285,0.00030854,0.00025604,4.41E-05,0.000266233,0.000224674,0.000489245,0.000252677,4.00E-05,0.000129042
AC009743.1,0.000240572,0.000404284,0.000292354,0.000289558,0.000701307,0.000260053,0.000190838,0.000643087,0.000327038,0.000236736,0.000233868,0.000466107,0.000296225,0.000143749,0.000244958,0.000151919,7.78E-05,0.000220625,0.000255038,0.000252612,0.000236081,4.01E-05,0.00025929,0.000195426,0.000415502,0.000228499,3.75E-05,0.00011232
CTNNB1,0.488742352,0.175148904,0.064074285,1.784322858,1.796727896,0.128578961,0.637434959,0.967898488,1.414512157,0.683758259,0.420146525,0.690639675,0.431268632,0.318444252,0.788547873,0.783266902,1.462100387,0.795570135,0.955481529,0.155289084,0.881935358,0.752564669,2.049262047,1.115778804,2.133877277,0.605454624,0.533022463,0.416040808
ULK4,0.000963667,0.003221009,0.008726997,0.004587163,0.008376018,0.009313715,0.00163114,0.017271865,0.007664714,0.003320531,0.003581602,0.014468247,0.00138,0.00180102,0.003627954,0.00087805,0.002845735,0.000748904,0.002179658,0.009533999,0.037087154,0.000156899,0.003621285,0.00706934,0.002906579,0.013980407,0.000570379,0.003336716
TRAK1,0.490733534,0.162032083,0.266392261,0.427058309,0.510574043,0.210236788,0.047039192,0.181754246,0.748567343,0.067071222,0.172120929,0.612020254,0.123132445,0.371719778,0.247209683,0.262485504,0.324396521,0.189715281,0.379196495,0.172173604,0.734961927,0.189378813,0.447197616,0.284445137,0.668188334,0.454448789,0.111264288,0.143971592
CCK,0.001258184,0.060373764,0.003177304,0.02191384,0.001834094,0.001424512,0.000291546,0.147054479,0.003823695,0.000457854,0.002638582,0.015885698,0.000625476,0.000511336,0.000860389,0.000880675,0.000172413,0.000665859,0.003456547,0.002011471,0.000535528,9.90E-05,0.016058404,0.002979639,0.002592559,0.000556391,0.000104498,0.000148023
