"","cell","trait","Prop._SNPs","Prop._h2","Prop._h2_std_error","Enrichment","Enrichment_std_error","Enrichment_p","Coefficient","Coefficient_std_error","Coefficient_z.score","p_zcore","FDR"
"240","Pattern_6","Bipolar Disorder",0.224797966849656,0.272824982634781,0.0335724073000949,1.21364524091646,0.149344799557498,0.142964184689401,3.67127794709795e-09,1.39230146339334e-08,0.263684126148245,0.792023328262554,0.929884169479509
"241","Pattern_6","Body Mass Index",0.224797966849656,0.27025245400334,0.0152310806661254,1.20220150471416,0.0677545303437368,0.0027009961869459,3.53257630105424e-09,2.55870983347311e-09,1.38060840461118,0.167399397763649,0.50102098233621
"242","Pattern_6","Celiac Disease",0.224797966849656,0.231210287869222,0.0459559680560546,1.02852481768153,0.204432311822418,0.887279488499721,-3.87764684690126e-08,1.58904248965188e-08,-2.44024113398677,0.0146774610793896,0.166136367962453
"243","Pattern_6","Coronary Artery Disease",0.224797966849656,0.34162916626002,0.0438172004738577,1.51971644160154,0.194918135105565,0.00612893259934824,2.1874462830516e-09,3.20884411983731e-09,0.681692909147142,0.495433152112224,0.775777592122746
"244","Pattern_6","Crohn's Disease",0.224797966849656,0.289980908374949,0.0261757049578441,1.28996232678958,0.11644102179692,0.00979093547612549,-1.26427321512995e-08,1.58276827246151e-08,-0.798773413093354,0.424421809510035,0.728709686169568
"245","Pattern_6","Depressive Symptoms",0.224797966849656,0.229032448806778,0.0270256068898594,1.01883683387561,0.12022175853545,0.875467141500561,8.54131813267047e-10,1.21338507509e-09,0.70392477277149,0.481479623110612,0.76347886585647
"246","Pattern_6","Ever Smoked",0.224797966849656,0.269289558741968,0.0312129050716069,1.19791812406412,0.138848698273512,0.14284666912883,5.22679394472004e-09,2.75539204436316e-09,1.89693294477378,0.057836788684483,0.322166256512025
"247","Pattern_6","Fasting Glucose",0.224797966849656,0.351930689218991,0.0454518788072632,1.56554213612777,0.202189901644712,0.00210899463910044,4.81385425555101e-09,4.41033033603504e-09,1.09149516901692,0.275055056464375,0.61039660344204
"248","Pattern_6","HDL Cholesterol",0.224797966849656,0.301651008427354,0.0286948643610602,1.34187605277185,0.127647348253159,0.0065444761428298,-2.77762845991765e-09,3.57859347613206e-09,-0.776178819539978,0.437643410148172,0.740306181872265
"249","Pattern_6","Height",0.224797966849656,0.266484581821605,0.0177021290657982,1.18544035587221,0.0787468379446567,0.0172778241458169,-1.09891708631746e-08,4.27415598793606e-09,-2.57107389018834,0.0101383693124208,0.146328842800533
"250","Pattern_6","Inflammatory Bowel Disease",0.224797966849656,0.301007387384076,0.0238835529574306,1.33901294394441,0.106244523881321,0.00176161562090515,-7.64811465570423e-09,9.22530484710052e-09,-0.829036523178744,0.407083740601868,0.716521257238027
"251","Pattern_6","LDL Cholesterol",0.224797966849656,0.356340553493923,0.0353521707005475,1.5851591475124,0.157261968139556,0.000197459740422802,-1.16159034159276e-09,3.47782491475349e-09,-0.333999085654114,0.738380248632568,0.907201598781815
"252","Pattern_6","Systemic Lupus Erythematosus",0.224797966849656,0.315891388147705,0.0388004093338219,1.40522351057993,0.17260124669976,0.015595173448098,-2.49638757698519e-08,1.72036179379899e-08,-1.45108289778544,0.146756778134233,0.470266861605841
"253","Pattern_6","Multiple Sclerosis",0.224797966849656,0.539136112961629,0.187104622424492,2.39831400842785,0.832323463804399,0.00490227670931482,-1.39980485581044e-08,9.39678607462228e-09,-1.48966342821283,0.136312755254587,0.45466072599022
"254","Pattern_6","Neuroticism",0.224797966849656,0.232637987060543,0.0156166984421086,1.0348758501723,0.069469927424001,0.618927633799098,2.15003741353748e-09,1.63904336336238e-09,1.3117635942998,0.189599912021574,0.528100278510352
"255","Pattern_6","Primary Biliary Cirrhosis",0.224797966849656,0.360085789294753,0.0449240251415802,1.60181959979904,0.199841776912623,0.000435863473659072,6.29375117137814e-09,1.78928784369289e-08,0.351746153843449,0.725028643929589,0.903636929502467
"256","Pattern_6","Rheumatoid Arthritis",0.224797966849656,0.314202376165072,0.0336535397697869,1.3977100441269,0.149705712384375,0.00334167177056894,1.14345941571274e-09,5.99729295347093e-09,0.190662591369821,0.848789948739296,0.952043345677671
"257","Pattern_6","Schizophrenia",0.224797966849656,0.276723147828148,0.0116594868644292,1.23098599024794,0.0518665138649898,1.16949037745519e-05,1.19446952917896e-08,5.73296107806212e-09,2.08351236457848,0.0372045458395132,0.260620633147442
"258","Pattern_6","Subjective Well-Being",0.224797966849656,0.168339206966994,0.0382053591905093,0.748846661409435,0.169954202548731,0.13006870550131,-2.88905737870801e-09,1.03542588875781e-09,-2.79021165114383,0.00526735957308462,0.116353821775308
"259","Pattern_6","Triglycerides",0.224797966849656,0.31976503786205,0.024594093022414,1.4224552043031,0.109405317882,8.12057592284912e-05,5.26226391217372e-11,2.94630501866834e-09,0.0178605537404682,0.985750097545459,0.994439478539555
"260","Pattern_6","Type 1 Diabetes",0.224797966849656,0.422491032613855,0.103565778016483,1.87942550608749,0.460706026250441,0.00992317326473239,-5.95609009339134e-10,9.97971100211944e-09,-0.0596819897101872,0.952408916291216,0.982893391788414
"261","Pattern_6","Type 2 Diabetes",0.224797966849656,0.301929220365773,0.0369392106881377,1.34311366155594,0.164321818412363,0.0325937486308972,1.36651785564316e-09,3.75888249505007e-09,0.363543648263193,0.716198813381739,0.900014225577019
"262","Pattern_6","Ulcerative Colitis",0.224797966849656,0.266705684464675,0.0320162854810647,1.18642391745049,0.142422486865626,0.194641856433382,-1.87775820227738e-08,9.29253229385344e-09,-2.02071743513813,0.0433090239346579,0.277595189557085
"263","Pattern_6","Years of Education (EduYears)",0.224797966849656,0.262807544800794,0.0242144823174987,1.16908328168537,0.107716642889805,0.119026279945022,1.86700253800443e-09,2.10517320049597e-09,0.886864101046206,0.375152071254271,0.692989242733584
"264","Pattern_6","Years of Education (College)",0.224797966849656,0.263248455029253,0.0113878795741006,1.17104464385709,0.0506582854537861,0.000762705842863948,2.86480123770618e-09,1.36311259534407e-09,2.10166148232461,0.0355829399391003,0.255812487129748
"265","Pattern_6","Savage cognition-intelligence",0.224797966849656,0.272473026873362,0.0133147627900623,1.21207958724818,0.0592299075327811,0.000367446396954037,4.38886878556419e-09,2.37121612006144e-09,1.8508936188619,0.0641848589510522,0.336417191743446
"266","Pattern_6","Tissink 2022 - Cerebellar Volume",0.224797966849656,0.33081670553275,0.0255056973358778,1.47161787167763,0.113460533888795,3.24424073040026e-05,1.45390842262703e-08,1.16302348335635e-08,1.25011097663412,0.211259010584061,0.550614071763884
"267","Pattern_6","Tissink 2022 - Subcortical Volume",0.224797966849656,0.325508626290734,0.0260809067981659,1.44800520597427,0.116019317984351,6.60104947597482e-05,2.46766722705213e-09,8.43233131646836e-09,0.292643532902077,0.769794635255133,0.919404250616361
"268","Pattern_6","UKB_IDP_0021_Volume_of_left_amygdala",0.224797966849656,0.319685976758863,0.0630060440495641,1.42210350582337,0.280278531574542,0.107982849225685,-1.35637884163936e-09,5.56793706180642e-09,-0.24360527545175,0.807536542150957,0.937701357858788
"269","Pattern_6","UKB_IDP_0024_Volume_of_right_accumbens",0.224797966849656,0.304480093885379,0.0433819867245307,1.35446106631833,0.192982113372691,0.0587431843302939,-2.18970664316486e-09,6.25507691541216e-09,-0.350068699837974,0.726287140366582,0.903636929502467
"270","Pattern_6","UKB_IDP_0026_Volume_of_grey_matter_in_Left_Frontal_Pole",0.224797966849656,0.25717044787483,0.0324679957173968,1.14400700094776,0.144431892211513,0.303390272708621,-6.81266262124752e-09,5.9650789284389e-09,-1.14209094346895,0.253416219541798,0.589365808945296
"271","Pattern_6","UKB_IDP_0137_IDP_T1_FAST_ROIs_L_cerebellum_I-IV",0.224797966849656,0.278180994489027,0.0249605623216118,1.2374711319123,0.111035534134992,0.0288183379019118,-2.09800309807673e-09,7.24166311454943e-09,-0.289712882923479,0.772035899674578,0.919404250616361
"272","Pattern_6","UKB_IDP_0138_IDP_T1_FAST_ROIs_R_cerebellum_I-IV",0.224797966849656,0.290199657942685,0.0247180224919168,1.29093542085622,0.10995661054376,0.0061128890192503,-1.99765838477453e-09,7.22701289845074e-09,-0.276415500130457,0.782228952934336,0.924768451024593
"273","Pattern_6","UKB_IDP_0139_IDP_T1_FAST_ROIs_L_cerebellum_V",0.224797966849656,0.317427219819599,0.0273350067085084,1.41205556379384,0.121598104696338,0.000410235383479152,1.01498608381776e-08,7.16340725497185e-09,1.41690406211834,0.156510978718606,0.485143353999697
"274","Pattern_6","UKB_IDP_0140_IDP_T1_FAST_ROIs_R_cerebellum_V",0.224797966849656,0.297600213561468,0.0251373880839555,1.32385633968167,0.111822132718697,0.00320425295571362,2.43799427902344e-10,7.13835256432385e-09,0.0341534584773535,0.972754779623348,0.9907849285027
"275","Pattern_6","UKB_IDP_0141_IDP_T1_FAST_ROIs_L_cerebellum_VI",0.224797966849656,0.31977391965898,0.025088367756275,1.42249471443327,0.111604068790595,0.000104706577171525,9.58303961440939e-09,7.56990332689495e-09,1.26593949758407,0.205534744095453,0.547205276662177
"276","Pattern_6","UKB_IDP_0142_IDP_T1_FAST_ROIs_V_cerebellum_VI",0.224797966849656,0.318302845002405,0.0274579432224842,1.41595072883948,0.122144980256196,0.00029071942203748,1.28723521400099e-08,7.43858576271275e-09,1.73048379767762,0.0835438735618465,0.378954420168994
"277","Pattern_6","UKB_IDP_0143_IDP_T1_FAST_ROIs_R_cerebellum_VI",0.224797966849656,0.32161711319943,0.028187273715476,1.43069404811177,0.125389362326072,0.00017230908847185,8.14575912100425e-09,7.27870484689614e-09,1.11912205431408,0.263088072313125,0.600055110270451
"278","Pattern_6","UKB_IDP_0144_IDP_T1_FAST_ROIs_L_cerebellum_crus_I",0.224797966849656,0.245403013771164,0.0204325094807477,1.09166029039439,0.090892768146844,0.307163020894979,-7.42364620770775e-09,8.60073719918291e-09,-0.863140686174322,0.388060120463163,0.702801647953711
"279","Pattern_6","UKB_IDP_0145_IDP_T1_FAST_ROIs_V_cerebellum_crus_I",0.224797966849656,0.292617739306659,0.0594968280276441,1.30169210783993,0.264667998832193,0.237885316682095,3.02120217022137e-09,5.7262895929658e-09,0.527602057348379,0.597775564766044,0.829788911821358
